eval_id,provenance,llm_available,fallback_triggered
1,hybrid,1,0
2,rule,1,0
3,rule,1,0
4,rule,1,0
5,rule,1,0
6,llm,1,0
7,rule,1,0
8,rule,1,0
9,rule,1,0
10,llm,1,0
11,rule,1,0
12,rule,1,0
13,rule,1,0
14,rule,1,0
15,rule,1,0
16,rule,1,0
17,hybrid,1,0
18,rule,1,0
19,rule,1,0
20,llm,1,0
21,rule,1,0
22,llm,1,0
23,rule,1,0
24,rule,1,0
25,rule,1,1
26,rule,1,1
27,rule,1,0
28,rule,1,0
29,llm,1,0
30,rule,1,0
31,rule,1,0
32,rule,1,0
33,rule,1,0
34,rule,1,0
35,rule,1,0
36,rule,1,0
37,hybrid,1,0
38,rule,1,0
39,rule,1,0
40,hybrid,1,0
41,hybrid,1,0
42,rule,1,1
43,rule,1,0
44,llm,1,0
45,hybrid,1,0
46,rule,1,0
47,rule,1,0
48,rule,1,0
49,rule,1,0
50,rule,1,0
51,rule,1,0
52,rule,1,0
53,rule,1,0
54,rule,1,0
55,rule,1,0
56,rule,1,0
57,rule,1,0
58,hybrid,1,0
59,hybrid,1,0
60,llm,1,0
61,rule,1,1
62,rule,1,0
63,rule,1,0
64,rule,1,0
65,rule,1,0
66,rule,1,0
67,rule,1,0
68,llm,1,0
69,rule,1,0
70,llm,1,0
71,rule,1,1
72,rule,1,0
73,rule,1,0
74,rule,1,0
75,rule,1,0
76,llm,1,0
77,rule,1,0
78,llm,1,0
79,rule,1,1
80,llm,1,0
81,llm,1,0
82,llm,1,0
83,rule,1,0
84,llm,1,0
85,rule,1,0
86,rule,1,0
87,rule,1,0
88,hybrid,1,0
89,rule,1,0
90,rule,1,0
91,rule,1,0
92,rule,1,0
93,rule,1,0
94,rule,1,0
95,llm,1,0
96,llm,1,0
97,llm,1,0
98,rule,1,0
99,hybrid,1,0
100,rule,1,0
101,llm,1,0
102,llm,1,0
103,hybrid,1,0
104,rule,1,0
105,llm,1,0
106,rule,1,0
107,rule,1,0
108,rule,1,0
109,rule,1,0
110,llm,1,0
111,rule,1,0
112,rule,1,0
113,rule,1,1
114,rule,1,0
115,rule,1,0
116,rule,1,0
117,llm,1,0
118,llm,1,0
119,llm,1,0
120,llm,1,0
121,rule,1,0
122,rule,1,0
123,rule,1,0
124,rule,1,0
125,rule,1,1
126,llm,1,0
127,rule,1,0
128,llm,1,0
129,rule,1,1
130,rule,1,0
131,llm,1,0
132,rule,1,0
133,rule,1,0
134,rule,1,0
135,llm,1,0
136,hybrid,1,0
137,hybrid,1,0
138,rule,1,0
139,llm,1,0
140,rule,1,0
141,llm,1,0
142,rule,1,0
143,hybrid,1,0
144,rule,1,0
145,llm,1,0
146,rule,1,0
147,rule,1,0
148,llm,1,0
149,rule,1,0
150,rule,1,0
151,rule,1,0
152,rule,1,0
153,rule,1,0
154,rule,1,0
155,rule,1,0
156,rule,1,0
157,rule,1,0
158,llm,1,0
159,llm,1,0
160,rule,1,0
161,rule,1,0
162,rule,1,0
163,rule,1,1
164,rule,1,0
165,rule,1,0
166,rule,1,0
167,rule,1,0
168,rule,1,0
169,rule,1,0
170,rule,1,0
171,llm,1,0
172,rule,1,0
173,rule,1,0
174,rule,1,0
175,llm,1,0
176,llm,1,0
177,rule,1,0
178,rule,1,0
179,rule,1,0
180,llm,1,0
181,rule,1,0
182,rule,1,0
183,rule,1,0
184,rule,1,0
185,rule,1,0
186,hybrid,1,0
187,rule,1,1
188,rule,1,0
189,llm,1,0
190,rule,1,0
191,hybrid,1,0
192,rule,1,0
193,rule,1,0
194,llm,1,0
195,rule,1,0
196,rule,1,0
197,rule,1,0
198,rule,1,0
199,rule,1,0
200,rule,1,0
201,rule,1,0
202,rule,1,0
203,rule,1,0
204,hybrid,1,0
205,rule,1,0
206,rule,1,1
207,rule,1,1
208,rule,1,0
209,llm,1,0
210,rule,1,0
211,rule,1,0
212,rule,1,0
213,llm,1,0
214,rule,1,1
215,rule,1,0
216,rule,1,0
217,rule,1,0
218,hybrid,1,0
219,rule,1,0
220,rule,1,1
221,rule,1,0
222,rule,1,0
223,rule,1,0
224,rule,1,0
225,rule,1,0
226,llm,1,0
227,rule,1,1
228,hybrid,1,0
229,llm,1,0
230,rule,1,0
231,llm,1,0
232,rule,1,0
233,rule,1,0
234,rule,1,0
235,rule,1,0
236,llm,1,0
237,hybrid,1,0
238,rule,1,0
239,rule,1,0
240,rule,1,0
241,rule,1,0
242,rule,1,0
243,rule,1,0
244,hybrid,1,0
245,rule,1,0
246,rule,1,0
247,rule,1,0
248,rule,1,0
249,rule,1,0
250,llm,1,0
251,rule,1,0
252,rule,1,0
253,llm,1,0
254,llm,1,0
255,rule,1,0
256,rule,1,0
257,rule,1,0
258,rule,1,0
259,rule,1,1
260,rule,1,0
261,rule,1,0
262,rule,1,0
263,llm,1,0
264,llm,1,0
265,rule,1,0
266,hybrid,1,0
267,rule,1,0
268,rule,1,0
269,llm,1,0
270,rule,1,0
271,llm,1,0
272,rule,1,0
273,rule,1,0
274,hybrid,1,0
275,rule,1,1
276,rule,1,0
277,llm,1,0
278,rule,1,0
279,rule,1,0
280,llm,1,0
281,rule,1,0
282,rule,1,0
283,rule,1,1
284,rule,1,0
285,rule,1,0
286,rule,1,0
287,llm,1,0
288,llm,1,0
289,rule,1,0
290,rule,1,0
291,hybrid,1,0
292,llm,1,0
293,llm,1,0
294,hybrid,1,0
295,rule,1,0
296,rule,1,0
297,rule,1,0
298,llm,1,0
299,rule,1,0
300,rule,1,0
301,rule,1,0
302,llm,1,0
303,llm,1,0
304,rule,1,0
305,rule,1,1
306,llm,1,0
307,llm,1,0
308,rule,1,0
309,rule,1,0
310,rule,1,0
311,rule,1,0
312,rule,1,0
313,rule,1,0
314,llm,1,0
315,rule,1,0
316,hybrid,1,0
317,rule,1,0
318,rule,1,0
319,rule,1,0
320,rule,1,0
321,rule,1,0
322,rule,1,0
323,rule,1,0
324,rule,1,0
325,rule,1,0
326,rule,1,0
327,rule,1,0
328,rule,1,0
329,rule,1,0
330,rule,1,0
331,rule,1,0
332,rule,1,0
333,rule,1,0
334,rule,1,0
335,rule,1,0
336,llm,1,0
337,rule,1,1
338,rule,1,0
339,rule,1,0
340,rule,1,0
341,llm,1,0
342,rule,1,0
343,rule,1,0
344,hybrid,1,0
345,rule,1,0
346,rule,1,0
347,hybrid,1,0
348,rule,1,0
349,rule,1,0
350,llm,1,0
351,rule,1,0
352,rule,1,0
353,rule,1,0
354,rule,1,0
355,rule,1,0
356,rule,1,0
357,rule,1,0
358,hybrid,1,0
359,rule,1,0
360,hybrid,1,0
361,rule,1,0
362,llm,1,0
363,llm,1,0
364,rule,1,0
365,rule,1,0
366,llm,1,0
367,rule,1,0
368,rule,1,0
369,llm,1,0
370,rule,1,0
371,rule,1,0
372,llm,1,0
373,rule,1,0
374,rule,1,0
375,llm,1,0
376,rule,1,0
377,hybrid,1,0
378,rule,1,0
379,rule,1,0
380,rule,1,0
381,llm,1,0
382,llm,1,0
383,rule,1,0
384,llm,1,0
385,hybrid,1,0
386,rule,1,0
387,rule,1,0
388,rule,1,0
389,rule,1,0
390,llm,1,0
391,llm,1,0
392,rule,1,0
393,rule,1,0
394,rule,1,0
395,rule,1,0
396,rule,1,0
397,rule,1,0
398,rule,1,0
399,rule,1,1
400,llm,1,0
401,rule,1,0
402,llm,1,0
403,rule,1,0
404,rule,1,0
405,rule,1,0
406,rule,1,0
407,rule,1,0
408,llm,1,0
409,rule,1,1
410,rule,1,0
411,rule,1,0
412,rule,1,0
413,rule,1,0
414,rule,1,0
415,rule,1,0
416,rule,1,0
417,rule,1,0
418,rule,1,0
419,rule,1,0
420,rule,1,0
421,rule,1,0
422,rule,1,0
423,rule,1,0
424,rule,1,0
425,rule,1,0
426,llm,1,0
427,rule,1,0
428,hybrid,1,0
429,rule,1,1
430,rule,1,0
431,rule,1,0
432,rule,1,0
433,rule,1,0
434,rule,1,0
435,rule,1,0
436,hybrid,1,0
437,rule,1,0
438,rule,1,0
439,llm,1,0
440,hybrid,1,0
441,rule,1,0
442,hybrid,1,0
443,rule,1,0
444,rule,1,0
445,rule,1,0
446,hybrid,1,0
447,rule,1,1
448,rule,1,0
449,rule,1,0
450,rule,1,0
451,rule,1,0
452,rule,1,1
453,rule,1,0
454,llm,1,0
455,rule,1,0
456,rule,1,0
457,llm,1,0
458,rule,1,0
459,llm,1,0
460,rule,1,0
461,hybrid,1,0
462,rule,1,0
463,rule,1,0
464,rule,1,0
465,rule,1,0
466,rule,1,0
467,rule,1,0
468,rule,1,0
469,hybrid,1,0
470,llm,1,0
471,rule,1,0
472,llm,1,0
473,rule,1,0
474,rule,1,0
475,rule,1,0
476,rule,1,0
477,rule,1,0
478,llm,1,0
479,rule,1,0
480,llm,1,0
481,rule,1,0
482,rule,1,0
483,hybrid,1,0
484,rule,1,0
485,rule,1,0
486,rule,1,0
487,hybrid,1,0
488,rule,1,0
489,llm,1,0
490,llm,1,0
491,rule,1,0
492,rule,1,0
493,llm,1,0
494,llm,1,0
495,hybrid,1,0
496,rule,1,0
497,rule,1,0
498,rule,1,0
499,llm,1,0
500,llm,1,0
501,llm,1,0
502,rule,1,0
503,rule,1,0
504,rule,1,0
505,rule,1,0
506,rule,1,0
507,rule,1,1
508,llm,1,0
509,rule,1,0
510,rule,1,0
511,hybrid,1,0
512,rule,1,0
513,rule,1,0
514,rule,1,0
515,rule,1,0
516,rule,1,0
517,rule,1,1
518,hybrid,1,0
519,rule,1,1
520,rule,1,0
521,hybrid,1,0
522,rule,1,0
523,rule,1,0
524,rule,1,0
525,llm,1,0
526,rule,1,0
527,rule,1,0
528,rule,1,0
529,rule,1,0
530,rule,1,0
531,hybrid,1,0
532,rule,1,0
533,rule,1,0
534,rule,1,0
535,rule,1,0
536,rule,1,0
537,rule,1,0
538,hybrid,1,0
539,rule,1,0
540,rule,1,0
541,rule,1,0
542,llm,1,0
543,rule,1,0
544,rule,1,0
545,rule,1,1
546,rule,1,0
547,rule,1,0
548,rule,1,0
549,hybrid,1,0
550,hybrid,1,0
551,hybrid,1,0
552,llm,1,0
553,rule,1,0
554,rule,1,0
555,rule,1,0
556,rule,1,0
557,hybrid,1,0
558,llm,1,0
559,rule,1,0
560,llm,1,0
561,llm,1,0
562,rule,1,0
563,rule,1,0
564,rule,1,0
565,rule,1,0
566,rule,1,0
567,rule,1,0
568,llm,1,0
569,rule,1,0
570,llm,1,0
571,rule,1,0
572,rule,1,0
573,hybrid,1,0
574,rule,1,0
575,rule,1,0
576,llm,1,0
577,rule,1,1
578,rule,1,0
579,rule,1,1
580,rule,1,1
581,rule,1,0
582,rule,1,0
583,hybrid,1,0
584,rule,1,1
585,hybrid,1,0
586,rule,1,0
587,rule,1,0
588,llm,1,0
589,rule,1,0
590,rule,1,0
591,hybrid,1,0
592,rule,1,0
593,rule,1,0
594,rule,1,0
595,rule,1,0
596,rule,1,0
597,llm,1,0
598,llm,1,0
599,rule,1,0
600,rule,1,0
601,rule,1,0
602,llm,1,0
603,rule,1,0
604,rule,1,0
605,llm,1,0
606,rule,1,0
607,llm,1,0
608,hybrid,1,0
609,rule,1,0
610,rule,1,0
611,rule,1,1
612,rule,1,0
