session_id,round,question_id,asked_question_id,correctness,depth,clarity,practicality,tradeoffs,overall_score,provenance,missing_points
1,10,PAPER_Q_0032,1,0.553,0.49,0.473,0.513,0.521,0.508,,"[""rollback and canary strategy"", ""capacity estimation"", ""monitoring and alerting""]"
1,10,PAPER_Q_0120,2,0.562,0.603,0.477,0.548,0.526,0.559,,"[""monitoring and alerting"", ""transaction consistency detail"", ""edge case handling""]"
1,10,PAPER_Q_0113,3,0.806,0.724,0.652,0.75,0.697,0.75,,"[""edge case handling"", ""failure mode analysis""]"
1,10,PAPER_Q_0027,4,0.677,0.675,0.652,0.646,0.62,0.662,,"[""rollback and canary strategy"", ""transaction consistency detail"", ""edge case handling""]"
1,10,PAPER_Q_0129,5,0.723,0.74,0.679,0.733,0.741,0.731,,"[""edge case handling"", ""capacity estimation""]"
1,10,PAPER_Q_0021,6,0.68,0.653,0.652,0.628,0.601,0.633,,"[""capacity estimation"", ""edge case handling"", ""monitoring and alerting""]"
1,10,PAPER_Q_0001,7,0.656,0.666,0.561,0.688,0.718,0.637,,"[""transaction consistency detail"", ""failure mode analysis"", ""edge case handling""]"
1,10,PAPER_Q_0057,8,0.57,0.602,0.501,0.575,0.581,0.558,,"[""capacity estimation"", ""failure mode analysis"", ""transaction consistency detail""]"
1,10,PAPER_Q_0129,9,0.77,0.689,0.701,0.689,0.693,0.726,,"[""rollback and canary strategy"", ""capacity estimation""]"
1,10,PAPER_Q_0031,10,0.596,0.603,0.501,0.59,0.624,0.597,,"[""failure mode analysis"", ""capacity estimation"", ""monitoring and alerting""]"
2,8,PAPER_Q_0090,11,0.553,0.542,0.439,0.501,0.482,0.491,,"[""monitoring and alerting"", ""failure mode analysis"", ""transaction consistency detail""]"
2,8,PAPER_Q_0027,12,0.638,0.623,0.592,0.622,0.629,0.634,,"[""monitoring and alerting"", ""transaction consistency detail"", ""edge case handling""]"
2,8,PAPER_Q_0031,13,0.642,0.546,0.514,0.595,0.538,0.555,,"[""transaction consistency detail"", ""monitoring and alerting"", ""capacity estimation""]"
2,8,PAPER_Q_0085,14,0.736,0.642,0.6,0.679,0.646,0.687,,"[""transaction consistency detail"", ""rollback and canary strategy""]"
2,8,PAPER_Q_0136,15,0.65,0.557,0.545,0.626,0.582,0.59,,"[""monitoring and alerting"", ""transaction consistency detail"", ""capacity estimation""]"
2,8,PAPER_Q_0013,16,0.691,0.644,0.639,0.694,0.718,0.651,,"[""monitoring and alerting"", ""capacity estimation"", ""failure mode analysis""]"
2,8,PAPER_Q_0009,17,0.599,0.515,0.436,0.517,0.481,0.525,,"[""transaction consistency detail"", ""rollback and canary strategy"", ""capacity estimation""]"
2,8,PAPER_Q_0128,18,0.793,0.773,0.714,0.779,0.798,0.785,,"[""rollback and canary strategy"", ""capacity estimation""]"
3,8,PAPER_Q_0128,19,0.748,0.702,0.69,0.687,0.666,0.688,,"[""failure mode analysis"", ""capacity estimation""]"
3,8,PAPER_Q_0021,20,0.785,0.716,0.709,0.737,0.722,0.739,,"[""capacity estimation"", ""failure mode analysis""]"
3,8,PAPER_Q_0113,21,0.733,0.706,0.648,0.706,0.684,0.673,,"[""rollback and canary strategy"", ""edge case handling"", ""transaction consistency detail""]"
3,8,PAPER_Q_0085,22,0.612,0.539,0.577,0.595,0.593,0.589,,"[""failure mode analysis"", ""monitoring and alerting"", ""edge case handling""]"
3,8,PAPER_Q_0057,23,0.639,0.673,0.573,0.669,0.718,0.638,,"[""transaction consistency detail"", ""failure mode analysis"", ""rollback and canary strategy""]"
3,8,PAPER_Q_0128,24,0.814,0.763,0.683,0.803,0.79,0.774,,"[""edge case handling"", ""failure mode analysis""]"
3,8,PAPER_Q_0035,25,0.612,0.5,0.553,0.56,0.573,0.552,,"[""failure mode analysis"", ""capacity estimation"", ""rollback and canary strategy""]"
3,8,PAPER_Q_0021,26,0.674,0.673,0.616,0.651,0.648,0.63,,"[""monitoring and alerting"", ""edge case handling"", ""transaction consistency detail""]"
4,9,PAPER_Q_0119,27,0.468,0.371,0.46,0.459,0.397,0.433,,"[""rollback and canary strategy"", ""failure mode analysis"", ""capacity estimation""]"
4,9,PAPER_Q_0113,28,0.641,0.621,0.655,0.685,0.691,0.63,,"[""rollback and canary strategy"", ""edge case handling"", ""failure mode analysis""]"
4,9,PAPER_Q_0013,29,0.624,0.628,0.643,0.611,0.653,0.625,,"[""edge case handling"", ""transaction consistency detail"", ""monitoring and alerting""]"
4,9,PAPER_Q_0133,30,0.624,0.625,0.645,0.642,0.589,0.62,,"[""edge case handling"", ""capacity estimation"", ""failure mode analysis""]"
4,9,PAPER_Q_0128,31,0.702,0.628,0.684,0.623,0.665,0.657,,"[""monitoring and alerting"", ""edge case handling"", ""transaction consistency detail""]"
4,9,PAPER_Q_0126,32,0.581,0.543,0.588,0.523,0.525,0.565,,"[""edge case handling"", ""monitoring and alerting"", ""transaction consistency detail""]"
4,9,PAPER_Q_0124,33,0.633,0.606,0.636,0.643,0.582,0.596,,"[""monitoring and alerting"", ""edge case handling"", ""capacity estimation""]"
4,9,PAPER_Q_0007,34,0.631,0.585,0.633,0.598,0.55,0.612,,"[""rollback and canary strategy"", ""monitoring and alerting"", ""failure mode analysis""]"
4,9,PAPER_Q_0021,35,0.625,0.55,0.614,0.563,0.566,0.569,,"[""monitoring and alerting"", ""rollback and canary strategy"", ""transaction consistency detail""]"
5,7,PAPER_Q_0022,36,0.565,0.508,0.631,0.617,0.592,0.567,,"[""edge case handling"", ""monitoring and alerting"", ""capacity estimation""]"
5,7,PAPER_Q_0027,37,0.572,0.505,0.528,0.573,0.575,0.533,,"[""monitoring and alerting"", ""rollback and canary strategy"", ""edge case handling""]"
5,7,PAPER_Q_0038,38,0.657,0.6,0.616,0.552,0.581,0.585,,"[""transaction consistency detail"", ""monitoring and alerting"", ""failure mode analysis""]"
5,7,PAPER_Q_0043,39,0.705,0.61,0.609,0.613,0.644,0.657,,"[""capacity estimation"", ""transaction consistency detail"", ""monitoring and alerting""]"
5,7,PAPER_Q_0067,40,0.592,0.576,0.557,0.547,0.528,0.543,,"[""edge case handling"", ""rollback and canary strategy"", ""monitoring and alerting""]"
5,7,PAPER_Q_0047,41,0.605,0.626,0.572,0.654,0.603,0.629,,"[""monitoring and alerting"", ""edge case handling"", ""transaction consistency detail""]"
5,7,PAPER_Q_0057,42,0.561,0.589,0.564,0.605,0.579,0.557,,"[""failure mode analysis"", ""capacity estimation"", ""transaction consistency detail""]"
6,7,PAPER_Q_0113,43,0.684,0.678,0.659,0.616,0.683,0.68,,"[""edge case handling"", ""capacity estimation""]"
6,7,PAPER_Q_0026,44,0.479,0.492,0.518,0.491,0.491,0.512,,"[""rollback and canary strategy"", ""failure mode analysis"", ""capacity estimation""]"
6,7,PAPER_Q_0136,45,0.655,0.599,0.555,0.574,0.575,0.617,,"[""rollback and canary strategy"", ""transaction consistency detail"", ""capacity estimation""]"
6,7,PAPER_Q_0001,46,0.628,0.515,0.619,0.615,0.562,0.567,,"[""transaction consistency detail"", ""monitoring and alerting"", ""failure mode analysis""]"
6,7,PAPER_Q_0021,47,0.711,0.625,0.695,0.676,0.674,0.687,,"[""rollback and canary strategy"", ""failure mode analysis""]"
6,7,PAPER_Q_0022,48,0.557,0.529,0.545,0.576,0.516,0.54,,"[""edge case handling"", ""rollback and canary strategy"", ""monitoring and alerting""]"
6,7,PAPER_Q_0129,49,0.615,0.568,0.589,0.603,0.617,0.58,,"[""rollback and canary strategy"", ""edge case handling"", ""capacity estimation""]"
7,10,PAPER_Q_0120,50,0.496,0.433,0.409,0.409,0.413,0.451,,"[""failure mode analysis"", ""transaction consistency detail"", ""rollback and canary strategy""]"
7,10,PAPER_Q_0107,51,0.733,0.621,0.708,0.686,0.669,0.676,,"[""transaction consistency detail"", ""edge case handling"", ""rollback and canary strategy""]"
