session_id,round,question_id,asked_question_id,correctness,depth,clarity,practicality,tradeoffs,overall_score,provenance,missing_points
1,1,189,1,0.921,0.974,0.98,0.98,0.98,0.9608,hybrid,[]
1,2,133,2,0.785,0.602,0.707,0.77,0.717,0.7181,rule,"[""核心概念边界""]"
1,3,106,3,0.746,0.733,0.816,0.732,0.796,0.759,rule,"[""异常场景处理"", ""性能瓶颈分析""]"
1,4,187,4,0.837,0.806,0.905,0.899,0.79,0.846,rule,"[""监控与回滚方案""]"
1,5,117,5,0.908,0.821,0.878,0.78,0.851,0.8539,rule,[]
1,6,129,6,0.854,0.836,0.975,0.815,0.897,0.8695,llm,[]
1,7,115,7,0.909,0.98,0.98,0.875,0.871,0.9266,rule,[]
2,1,118,8,0.758,0.678,0.835,0.702,0.793,0.7477,rule,"[""性能瓶颈分析"", ""异常场景处理""]"
2,2,135,9,0.713,0.762,0.95,0.733,0.771,0.7755,rule,"[""一致性权衡""]"
2,3,59,10,0.98,0.98,0.962,0.915,0.925,0.9586,llm,[]
2,4,98,11,0.88,0.93,0.98,0.954,0.98,0.9342,rule,[]
2,5,133,12,0.824,0.778,0.796,0.846,0.866,0.8178,rule,"[""一致性权衡""]"
2,6,150,13,0.832,0.866,0.877,0.9,0.901,0.8683,rule,"[""监控与回滚方案""]"
2,7,145,14,0.849,0.86,0.814,0.693,0.822,0.8152,rule,"[""核心概念边界""]"
3,1,99,15,0.854,0.861,0.904,0.819,0.91,0.8654,rule,"[""性能瓶颈分析""]"
3,2,115,16,0.86,0.815,0.882,0.843,0.813,0.8443,rule,[]
3,3,166,17,0.686,0.735,0.839,0.707,0.673,0.7251,hybrid,"[""一致性权衡"", ""核心概念边界""]"
3,4,55,18,0.77,0.803,0.845,0.719,0.766,0.7811,rule,[]
3,5,103,19,0.912,0.98,0.971,0.952,0.961,0.9508,rule,"[""异常场景处理""]"
4,1,44,20,0.673,0.483,0.645,0.579,0.464,0.5814,llm,"[""生产环境验证"", ""一致性权衡""]"
4,2,144,21,0.709,0.636,0.734,0.672,0.677,0.686,rule,"[""异常场景处理""]"
4,3,21,22,0.784,0.734,0.731,0.838,0.8,0.7747,llm,"[""性能瓶颈分析""]"
4,4,10,23,0.583,0.612,0.712,0.733,0.632,0.6436,rule,"[""一致性权衡"", ""性能瓶颈分析""]"
4,5,19,24,0.788,0.661,0.738,0.754,0.655,0.7272,rule,"[""生产环境验证""]"
4,6,20,25,0.707,0.736,0.67,0.709,0.655,0.7009,rule,"[""异常场景处理""]"
5,1,145,26,0.438,0.534,0.443,0.519,0.503,0.4831,rule,"[""生产环境验证"", ""核心概念边界""]"
5,2,154,27,0.676,0.61,0.745,0.621,0.628,0.6569,rule,"[""核心概念边界""]"
5,3,107,28,0.487,0.505,0.518,0.462,0.483,0.4915,rule,"[""核心概念边界"", ""监控与回滚方案""]"
5,4,63,29,0.712,0.753,0.702,0.659,0.732,0.7132,llm,"[""一致性权衡"", ""核心概念边界""]"
5,5,141,30,0.567,0.617,0.64,0.736,0.7,0.6369,rule,"[""异常场景处理"", ""监控与回滚方案""]"
5,6,158,31,0.651,0.678,0.662,0.633,0.593,0.6486,rule,"[""生产环境验证"", ""核心概念边界""]"
5,7,162,32,0.744,0.607,0.724,0.703,0.656,0.6905,rule,"[""监控与回滚方案""]"
6,1,147,33,0.562,0.502,0.592,0.614,0.534,0.5584,rule,"[""生产环境验证"", ""一致性权衡"", ""性能瓶颈分析""]"
